酒店名称,评论日期,评论内容,入住房型,主题,评论对主题贡献度,主题关键字,评论分词,评价方面,酒店编号,emotional_value,index,情感等级
H14,2020-01-01,儿童乐园蛮适合孩子哒，几乎没人。,豪华房,1.0,0.6614000201225281,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['儿童乐园', '适合', '孩子', '哒']",卫生,14,1.0,8344,2
H14,2020-01-01,服务，卫生都不错！,商务房,1.0,0.4271000027656555,"服务, 干净, 卫生, 房间, 特别, 热情, 温泉, 整洁, 喜欢, 入住","['服务', '卫生', '不错']",卫生,14,1.0,8345,2
H14,2020-01-01,很好，非常好，我们的生活方式,豪华房,2.0,0.7142000198364258,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['生活', '方式']",位置,14,1.5,8346,3
H14,2020-01-01,夏天入住时有演出，有室外烧烤。今年跨年也预定了这里，入住是小段经理安排的，很好，16层，从高空俯视的感觉特别很好。跨年，晚餐有自助火锅有红酒、白葡萄酒挺有气氛哒。健身房的跑步机，都非常不错，泳池到晚上11点。下次朋友聚会，就来这里了！,商务房,0.0,0.5425999760627747,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['夏天', '入住', '时', '演出', '室外', '烧烤', '跨', '年', '预定', '入住', '小段', '经理', '安排', '层', '高空', '俯视', '感觉', '特别', '跨', '年', '晚餐', '自助', '火锅', '红酒', '白葡萄酒', '气氛', '哒', '健身房', '跑步机', '不错', '泳池', '晚上', '点', '下次', '朋友', '聚会']",服务,14,2.0,8347,4
H14,2020-01-01,这家酒店是我们每次到广州的首选酒店，主要原因是一楼的早餐方便，而且餐食的味道感觉很不错。我们都是老人不愿意坐车跑来跑去的，因此我们觉得这家酒店符合我们的需求就是好。,商务房,2.0,0.4521999955177307,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['这家', '每次', '广州', '首选', '原因', '一楼', '早餐', '餐食', '味道', '感觉', '不错', '老人', '坐车', '跑来跑去', '这家', '符合', '需求']",位置,14,1.0,8348,2
H14,2020-01-01,80年代的水平，太陈旧的酒店，房间太小，网上订房，12点左右到店，房间未收拾不能入住，大厅无沙发休息，前台让我上二楼休息，上了二楼全是商品展厅在装卸，根本无处可待。还挂五星的牌子，三星都不如。,商务大床房,6.0,0.5174999833106995,"房间, 差, 服务态度, 入住, 疫情, 空调, 太, 期间, 点, 体验","['年代', '水平', '太', '陈旧', '房间', '太小', '网上', '订房', '点', '店', '房间', '未', '收拾', '入住', '大厅', '沙发', '休息', '二楼', '休息', '二楼', '全', '商品', '展厅', '装卸', '无处', '可待', '挂', '五星', '牌子', '三星']",设施,14,1.0,8349,2
H14,2020-01-01,这家酒店一直是我们到广州的首选酒店，管理一直就很好，特别是它独特的地理位置，又和友谊商店联为一体，购物餐食都感觉非常方便。一楼的早餐我们也是住这家酒店的理由，味道真的不错，而且是一直能保持着稳定状态实属不易呀。,商务房,2.0,0.5220000147819519,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['这家', '广州', '首选', '管理', '特别', '独特', '地理位置', '友谊商店', '联为', '一体', '购物', '餐食', '感觉', '一楼', '早餐', '住', '这家', '理由', '味道', '真的', '不错', '稳定', '状态', '实属', '不易']",位置,14,3.0,8350,5
H14,2020-01-02,环境不错 酒店干净整洁 位置好 酒店旁边就是购物中心 很方便,精英房,5.0,0.6434000134468079,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['环境', '不错', '干净', '整洁', '位置', '旁边', '购物中心']",性价比,14,1.0,8351,2
H14,2020-01-02,服务良好和房间整潔,商务房,2.0,0.4512999951839447,"房间, 位置, 旧, 地理位置, 住, 设施, 机场, 早餐, 出行, 出差","['服务', '房间', '整潔']",位置,14,1.5,8352,3
H14,2020-01-02,早茶很好吃,豪华房,0.0,0.7139000296592712,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['早茶', '好吃']",服务,14,1.0,8353,2
H14,2020-01-02,非常棒，而且还升级了，推荐,商务房,0.0,0.7856000065803528,"服务, 房间, 升级, 入住, 免费, 早餐, 热情, 推荐, 满意, 不错","['棒', '升级', '推荐']",服务,14,1.0,8354,2
H14,2020-01-02,有停车场 周围配套设施齐全,商务房,5.0,0.8284000158309937,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['停车场', '配套', '设施', '齐全']",性价比,14,1.5,8355,3
H14,2020-01-02,前台服务还比较标准，房间太小，床很硬！周边环境还不错，有地方逛街，早餐还算可以，但是地方比较小，估计比较难改善。,商务房,5.0,0.5325000286102295,"不错, 环境, 服务, 早餐, 位置, 交通, 设施, 房间, 性价比, 高","['服务', '标准', '房间', '太小', '床', '硬', '周边环境', '不错', '逛街', '早餐', '算', '估计', '难', '改善']",性价比,14,1.0,8356,2
